sample	treatment	response
1	sample_1	1.9125
2	sample_2	2.079916786
3	sample_4	1.905981031
4	sample_2	1.874356388
5	sample_2	1.870187627
6	sample_2	1.950554784
7	sample_4	2.058308749
8	sample_2	1.967308103
9	sample_3	1.942470596
10	sample_2	1.95555825
11	sample_3	1.853167396
12	sample_1	1.623168223
13	sample_2	2.075843069
14	sample_4	1.981209612
15	sample_2	1.912885674
16	sample_3	1.937400675
17	sample_3	2.068846801
18	sample_4	1.939225015
19	sample_3	1.946741196
20	sample_2	1.958915509
21	sample_2	1.908982972
22	sample_2	1.958225638
23	sample_2	2.05269808
24	sample_1	1.614509373
25	sample_1	2.157221403
26	sample_3	1.98318429
27	sample_1	1.694200454
28	sample_2	2.118147934
29	sample_3	2.023141457
30	sample_1	1.759008449
31	sample_4	1.902989084
32	sample_3	1.863990109
33	sample_4	1.997499262
34	sample_3	1.807235259
35	sample_2	1.854182228
36	sample_2	2.109994421
37	sample_3	1.960169786
38	sample_3	1.659035171
39	sample_2	2.083155997
40	sample_1	1.797503836
41	sample_1	1.669201876
42	sample_2	1.838841155
43	sample_4	1.975411428
44	sample_1	1.684616865
45	sample_2	2.087416937
46	sample_3	1.674386348
47	sample_1	1.649780086
