"sample_1"	"sample_2"	"group_1"	"group_2"	"r2"
"sample_1_a"	"sample_1_a"	"sample_1"	"sample_1"	1
"sample_1_b"	"sample_1_a"	"sample_1"	"sample_1"	0.941083972142806
"sample_1_b"	"sample_1_b"	"sample_1"	"sample_1"	1
"sample_1_c"	"sample_1_a"	"sample_1"	"sample_1"	0.937217327376314
"sample_1_c"	"sample_1_c"	"sample_1"	"sample_1"	1
"sample_1_c"	"sample_1_b"	"sample_1"	"sample_1"	0.963424554811247
"sample_2_a"	"sample_1_b"	"sample_2"	"sample_1"	0.887072185724957
"sample_2_a"	"sample_1_a"	"sample_2"	"sample_1"	0.862592197955354
"sample_2_a"	"sample_1_c"	"sample_2"	"sample_1"	0.893837036637398
"sample_2_a"	"sample_2_a"	"sample_2"	"sample_2"	1
"sample_2_b"	"sample_1_c"	"sample_2"	"sample_1"	0.903555505237311
"sample_2_b"	"sample_2_a"	"sample_2"	"sample_2"	0.967780287227775
"sample_2_b"	"sample_1_a"	"sample_2"	"sample_1"	0.870905112125291
"sample_2_b"	"sample_1_b"	"sample_2"	"sample_1"	0.897235829334817
"sample_2_b"	"sample_2_b"	"sample_2"	"sample_2"	1
"sample_2_c"	"sample_1_a"	"sample_2"	"sample_1"	0.883247688892254
"sample_2_c"	"sample_1_c"	"sample_2"	"sample_1"	0.90756507597341
"sample_2_c"	"sample_2_b"	"sample_2"	"sample_2"	0.965593564333878
"sample_2_c"	"sample_2_a"	"sample_2"	"sample_2"	0.974815636334167
"sample_2_c"	"sample_2_c"	"sample_2"	"sample_2"	1
"sample_2_c"	"sample_1_b"	"sample_2"	"sample_1"	0.90570429277439
"sample_2_d"	"sample_1_a"	"sample_2"	"sample_1"	0.891874754646459
"sample_2_d"	"sample_2_b"	"sample_2"	"sample_2"	0.967352395762338
"sample_2_d"	"sample_1_c"	"sample_2"	"sample_1"	0.916998870122224
"sample_2_d"	"sample_2_a"	"sample_2"	"sample_2"	0.97693691226695
"sample_2_d"	"sample_2_c"	"sample_2"	"sample_2"	0.97630003418176
"sample_2_d"	"sample_1_b"	"sample_2"	"sample_1"	0.91548718150046
"sample_2_d"	"sample_2_d"	"sample_2"	"sample_2"	1
"sample_2_e"	"sample_1_a"	"sample_2"	"sample_1"	0.888305224115365
"sample_2_e"	"sample_2_e"	"sample_2"	"sample_2"	1
"sample_2_e"	"sample_2_c"	"sample_2"	"sample_2"	0.964304771245716
"sample_2_e"	"sample_1_b"	"sample_2"	"sample_1"	0.912509117897043
"sample_2_e"	"sample_2_d"	"sample_2"	"sample_2"	0.972160894359332
"sample_2_e"	"sample_1_c"	"sample_2"	"sample_1"	0.916423965299876
"sample_2_e"	"sample_2_a"	"sample_2"	"sample_2"	0.965431088333435
"sample_2_e"	"sample_2_b"	"sample_2"	"sample_2"	0.973894315221464
"sample_3_a"	"sample_2_e"	"sample_3"	"sample_2"	0.931793002026447
"sample_3_a"	"sample_2_c"	"sample_3"	"sample_2"	0.903420835462627
"sample_3_a"	"sample_1_b"	"sample_3"	"sample_1"	0.914845981714087
"sample_3_a"	"sample_2_a"	"sample_3"	"sample_2"	0.896612977669616
"sample_3_a"	"sample_3_a"	"sample_3"	"sample_3"	1
"sample_3_a"	"sample_1_a"	"sample_3"	"sample_1"	0.891911560159974
"sample_3_a"	"sample_2_b"	"sample_3"	"sample_2"	0.922221229704627
"sample_3_a"	"sample_2_d"	"sample_3"	"sample_2"	0.913702040387129
"sample_3_a"	"sample_1_c"	"sample_3"	"sample_1"	0.913355167537619
"sample_3_b"	"sample_2_c"	"sample_3"	"sample_2"	0.914500069470846
"sample_3_b"	"sample_2_e"	"sample_3"	"sample_2"	0.934864284576757
"sample_3_b"	"sample_3_a"	"sample_3"	"sample_3"	0.969435094302478
"sample_3_b"	"sample_2_a"	"sample_3"	"sample_2"	0.901947476184506
"sample_3_b"	"sample_2_b"	"sample_3"	"sample_2"	0.922097020475711
"sample_3_b"	"sample_3_b"	"sample_3"	"sample_3"	1
"sample_3_b"	"sample_1_b"	"sample_3"	"sample_1"	0.92969569665586
"sample_3_b"	"sample_1_a"	"sample_3"	"sample_1"	0.913338140876952
"sample_3_b"	"sample_1_c"	"sample_3"	"sample_1"	0.923887912546127
"sample_3_b"	"sample_2_d"	"sample_3"	"sample_2"	0.925522330137753
"sample_3_c"	"sample_3_a"	"sample_3"	"sample_3"	0.923902073037549
"sample_3_c"	"sample_3_c"	"sample_3"	"sample_3"	1
"sample_3_c"	"sample_1_b"	"sample_3"	"sample_1"	0.931777509582404
"sample_3_c"	"sample_2_a"	"sample_3"	"sample_2"	0.850085664311935
"sample_3_c"	"sample_1_c"	"sample_3"	"sample_1"	0.918975727785211
"sample_3_c"	"sample_2_c"	"sample_3"	"sample_2"	0.873238177869864
"sample_3_c"	"sample_2_e"	"sample_3"	"sample_2"	0.890016050155854
"sample_3_c"	"sample_2_b"	"sample_3"	"sample_2"	0.871816253721089
"sample_3_c"	"sample_3_b"	"sample_3"	"sample_3"	0.933305281448541
"sample_3_c"	"sample_1_a"	"sample_3"	"sample_1"	0.910503425186142
"sample_3_c"	"sample_2_d"	"sample_3"	"sample_2"	0.883329653423295
"sample_3_d"	"sample_3_a"	"sample_3"	"sample_3"	0.959623621792136
"sample_3_d"	"sample_3_d"	"sample_3"	"sample_3"	1
"sample_3_d"	"sample_2_e"	"sample_3"	"sample_2"	0.933097922964556
"sample_3_d"	"sample_2_a"	"sample_3"	"sample_2"	0.900876294838989
"sample_3_d"	"sample_2_c"	"sample_3"	"sample_2"	0.910151805824767
"sample_3_d"	"sample_1_a"	"sample_3"	"sample_1"	0.899837574411488
"sample_3_d"	"sample_1_c"	"sample_3"	"sample_1"	0.925404490415712
"sample_3_d"	"sample_3_b"	"sample_3"	"sample_3"	0.955264575519393
"sample_3_d"	"sample_1_b"	"sample_3"	"sample_1"	0.927567222861047
"sample_3_d"	"sample_2_d"	"sample_3"	"sample_2"	0.919957728700299
"sample_3_d"	"sample_3_c"	"sample_3"	"sample_3"	0.943734500151373
"sample_3_d"	"sample_2_b"	"sample_3"	"sample_2"	0.92345427049387
"sample_4_a"	"sample_3_d"	"sample_4"	"sample_3"	0.926488313341818
"sample_4_a"	"sample_2_a"	"sample_4"	"sample_2"	0.944355080566839
"sample_4_a"	"sample_2_e"	"sample_4"	"sample_2"	0.961895074364564
"sample_4_a"	"sample_3_a"	"sample_4"	"sample_3"	0.925540412521113
"sample_4_a"	"sample_1_c"	"sample_4"	"sample_1"	0.911539308754554
"sample_4_a"	"sample_4_a"	"sample_4"	"sample_4"	1
"sample_4_a"	"sample_1_b"	"sample_4"	"sample_1"	0.911427365313673
"sample_4_a"	"sample_1_a"	"sample_4"	"sample_1"	0.892740401331897
"sample_4_a"	"sample_2_d"	"sample_4"	"sample_2"	0.956030309694219
"sample_4_a"	"sample_2_c"	"sample_4"	"sample_2"	0.948870155413532
"sample_4_a"	"sample_3_c"	"sample_4"	"sample_3"	0.895069073528572
"sample_4_a"	"sample_3_b"	"sample_4"	"sample_3"	0.934944667478901
"sample_4_a"	"sample_2_b"	"sample_4"	"sample_2"	0.952322203694255
"sample_4_b"	"sample_3_d"	"sample_4"	"sample_3"	0.926365693317691
"sample_4_b"	"sample_2_e"	"sample_4"	"sample_2"	0.964205627783963
"sample_4_b"	"sample_2_d"	"sample_4"	"sample_2"	0.955393354180576
"sample_4_b"	"sample_4_a"	"sample_4"	"sample_4"	0.971498250662558
"sample_4_b"	"sample_3_a"	"sample_4"	"sample_3"	0.930233286778195
"sample_4_b"	"sample_3_b"	"sample_4"	"sample_3"	0.929216897206649
"sample_4_b"	"sample_2_c"	"sample_4"	"sample_2"	0.945863026562186
"sample_4_b"	"sample_1_a"	"sample_4"	"sample_1"	0.872516192640486
"sample_4_b"	"sample_2_a"	"sample_4"	"sample_2"	0.949100909920649
"sample_4_b"	"sample_4_b"	"sample_4"	"sample_4"	1
"sample_4_b"	"sample_3_c"	"sample_4"	"sample_3"	0.876336290734198
"sample_4_b"	"sample_1_b"	"sample_4"	"sample_1"	0.893380452253201
"sample_4_b"	"sample_1_c"	"sample_4"	"sample_1"	0.897778222900431
"sample_4_b"	"sample_2_b"	"sample_4"	"sample_2"	0.960585385201595
"sample_4_c"	"sample_2_e"	"sample_4"	"sample_2"	0.959502215252843
"sample_4_c"	"sample_3_d"	"sample_4"	"sample_3"	0.921698557773786
"sample_4_c"	"sample_1_a"	"sample_4"	"sample_1"	0.862364489216611
"sample_4_c"	"sample_1_c"	"sample_4"	"sample_1"	0.891434387424756
"sample_4_c"	"sample_4_c"	"sample_4"	"sample_4"	1
"sample_4_c"	"sample_3_a"	"sample_4"	"sample_3"	0.926175343778848
"sample_4_c"	"sample_4_a"	"sample_4"	"sample_4"	0.963517564401995
"sample_4_c"	"sample_1_b"	"sample_4"	"sample_1"	0.884463123009104
"sample_4_c"	"sample_2_d"	"sample_4"	"sample_2"	0.950855418414845
"sample_4_c"	"sample_2_a"	"sample_4"	"sample_2"	0.948900800303228
"sample_4_c"	"sample_2_c"	"sample_4"	"sample_2"	0.942672663517128
"sample_4_c"	"sample_4_b"	"sample_4"	"sample_4"	0.975697820663862
"sample_4_c"	"sample_3_b"	"sample_4"	"sample_3"	0.9230599086143
"sample_4_c"	"sample_2_b"	"sample_4"	"sample_2"	0.959580457164296
"sample_4_c"	"sample_3_c"	"sample_4"	"sample_3"	0.865871534742698
"sample_4_d"	"sample_4_a"	"sample_4"	"sample_4"	0.957874460680023
"sample_4_d"	"sample_3_a"	"sample_4"	"sample_3"	0.897191397118994
"sample_4_d"	"sample_1_c"	"sample_4"	"sample_1"	0.881842503075892
"sample_4_d"	"sample_1_a"	"sample_4"	"sample_1"	0.852969415820066
"sample_4_d"	"sample_2_a"	"sample_4"	"sample_2"	0.968218747891016
"sample_4_d"	"sample_3_d"	"sample_4"	"sample_3"	0.898681384522593
"sample_4_d"	"sample_2_d"	"sample_4"	"sample_2"	0.96318303842351
"sample_4_d"	"sample_4_c"	"sample_4"	"sample_4"	0.967631652840335
"sample_4_d"	"sample_2_e"	"sample_4"	"sample_2"	0.956050660632788
"sample_4_d"	"sample_4_b"	"sample_4"	"sample_4"	0.966463337849495
"sample_4_d"	"sample_3_b"	"sample_4"	"sample_3"	0.902221637671201
"sample_4_d"	"sample_2_c"	"sample_4"	"sample_2"	0.957523342982341
"sample_4_d"	"sample_3_c"	"sample_4"	"sample_3"	0.843740113598704
"sample_4_d"	"sample_4_d"	"sample_4"	"sample_4"	1
"sample_4_d"	"sample_2_b"	"sample_4"	"sample_2"	0.958845211857902
"sample_4_d"	"sample_1_b"	"sample_4"	"sample_1"	0.874450335316295
"sample_4_e"	"sample_1_a"	"sample_4"	"sample_1"	0.862223231455976
"sample_4_e"	"sample_1_c"	"sample_4"	"sample_1"	0.889556458793968
"sample_4_e"	"sample_4_a"	"sample_4"	"sample_4"	0.963682673206114
"sample_4_e"	"sample_3_b"	"sample_4"	"sample_3"	0.922789201535903
"sample_4_e"	"sample_2_e"	"sample_4"	"sample_2"	0.959275437348597
"sample_4_e"	"sample_4_e"	"sample_4"	"sample_4"	1
"sample_4_e"	"sample_4_b"	"sample_4"	"sample_4"	0.976266071622281
"sample_4_e"	"sample_2_d"	"sample_4"	"sample_2"	0.948382815299298
"sample_4_e"	"sample_3_a"	"sample_4"	"sample_3"	0.925125820799369
